year,age,midYearWt_3LNO,springWt_3LNO,springM_3LNO
1974,6,95.50066441,71.52504184,0.762356326
1974,7,169.8689784,132.3894343,0.625801452
1974,8,262.5094628,210.5025132,0.540397955
1974,9,408.1860025,338.0578423,0.468650576
1974,10,617.0949133,525.4763885,0.410472832
1974,11,799.4261379,689.9998028,0.377428032
1974,12,1099.652996,968.6998444,0.340908528
1974,13,1333.362865,1197.727841,0.321550441
1974,14,1577.273184,1440.904919,0.301821971
1974,15,2168.863983,2004.218811,0.271019798
1974,16,2374.789221,2221.938605,0.262922431
1974,17,2712.860177,2564.933327,0.251058924
1974,18,2974.829623,2836.459335,0.244103002
1974,19,3247.371539,3119.784148,0.23649778
1974,20,3410.88212,3294.789591,0.234151003
1974,21,3597.018144,3498.017699,0.228500211
1975,1,1.038309565,0.268250794,4.268810676
1975,2,4.462959777,2.143799427,2.280560019
1975,3,13.31989321,8.041637336,1.507656859
1975,4,32.7172035,22.16004958,1.106980632
1975,5,62.92168607,45.4547065,0.88475095
1975,6,99.52988245,74.58120191,0.752929296
1975,7,157.6590376,122.2175143,0.642586533
1975,8,270.7353921,217.3358534,0.536517313
1975,9,396.9438738,327.0912133,0.471957664
1975,10,588.0522934,497.529898,0.416613068
1975,11,850.4727079,735.4100037,0.37034271
1975,12,1056.126443,927.2787155,0.344744097
1975,13,1386.405083,1241.272743,0.315770398
1975,14,1690.338604,1544.402737,0.296814733
1975,15,1919.771188,1771.055256,0.283170858
1975,16,2501.779275,2337.955406,0.258710345
1975,17,2702.256756,2550.996903,0.251485457
1975,18,2982.455539,2839.972527,0.244008786
1975,19,3267.414716,3135.373174,0.236126601
1975,20,3444.361677,3323.693972,0.233521387
1975,21,3640.009155,3536.954962,0.227725397
1976,1,1.218513545,0.313885868,4.089171384
1976,2,4.737642548,2.276077581,2.247035189
1976,3,14.79855691,8.962200669,1.464016563
1976,4,33.71396463,22.83361153,1.09166016
1976,5,61.84093211,44.69192494,0.888991581
1976,6,101.7502307,76.36819492,0.746933839
1976,7,163.9157787,127.2267112,0.634920701
1976,8,254.5658707,202.9963424,0.548678107
1976,9,409.9631728,337.7585929,0.468275057
1976,10,575.3855892,484.8951596,0.418573821
1976,11,818.0399948,703.1602923,0.374761802
1976,12,1117.658679,983.1723522,0.338748607
1976,13,1339.959355,1195.957699,0.318765333
1976,14,1747.548871,1592.791144,0.29209616
1976,15,2068.651005,1908.76693,0.277736432
1976,16,2235.142429,2084.665782,0.269292098
1976,17,2848.94622,2686.52328,0.247410702
1976,18,2984.942429,2838.328189,0.244056095
1976,19,3283.491839,3146.857831,0.235852297
1976,20,3475.970763,3350.452472,0.232943572
1976,21,3682.95354,3575.527545,0.226967604
